LCSC Part	First Category	Second Category	MFR.Part	Package	Solder Joint	Manufacturer	Library Type	Description	Datasheet	Price	Stock											
C51207	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL21B331KBANNNC	805	2	Samsung Electro-Mechanics	Basic	50V 330pF X7R ??10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810191220_Samsung-Electro-Mechanics-CL21B331KBANNNC_C51207.pdf	20-180:0.003865672	200-580:0.003194030	600-1980:0.002820896	2000-9980:0.002597015	10000-19980:0.002402985	20000-:0.002298507	171749						
C52923	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL05A105KA5NQNC	402	2	Samsung Electro-Mechanics	Basic	25V 1uF X5R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811091611_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf	20-180:0.003029851	200-580:0.002313433	600-1980:0.001925373	2000-9980:0.001761194	10000-10020:0.001537313	10040-:0.001537313	3270158						
C53134	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL21B473KBCNNNC	805	2	Samsung Electro-Mechanics	Basic	50V 47nF X7R ??10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811091614_Samsung-Electro-Mechanics-CL21B473KBCNNNC_C53134.pdf	20-180:0.010656716	200-580:0.008805970	600-1980:0.007791045	2000-9980:0.007179104	10000-19980:0.006641791	20000-:0.006358209	119690						
C53175	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL21B332KBANNNC	805	2	Samsung Electro-Mechanics	Basic	50V 3.3nF X7R ??10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810191220_Samsung-Electro-Mechanics-CL21B332KBANNNC-_C53175.pdf	20-180:0.008552239	200-580:0.006880597	600-1980:0.005940299	2000-9980:0.005388060	10000-19980:0.004910448	20000-:0.004641791	22						
C53987	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B472K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 4.7nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811061811_FH--Guangdong-Fenghua-Advanced-Tech-0603B472K500NT_C53987.pdf	20-180:0.002522388	600-1980:0.001716418	20000-:0.001358209	10000-19980:0.001382090	200-580:0.002059701	2000-9980:0.001429851	371525						
C57112	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B103K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 10nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/2102081402_FH--Guangdong-Fenghua-Advanced-Tech-0603B103K500NT_C57112.pdf	20-180:0.002343284	200-580:0.001895522	600-1980:0.001567164	2000-9980:0.001298507	10000-19980:0.001252239	20000-:0.001229851	3264941						
C59461	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10A226MQ8NRNC	603	2	Samsung Electro-Mechanics	Basic	6.3V 22uF X5R ??20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811151138_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.pdf	20-180:0.004343284	200-580:0.004223881	600-1980:0.004223881	2000-9980:0.004223881	10000-19980:0.004223881	20000-:0.004223881	7490105						
C96123	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL31A476MPHNNNE	1206	2	Samsung Electro-Mechanics	Basic	10V 47uF X5R ??20% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810221121_Samsung-Electro-Mechanics-CL31A476MPHNNNE_C96123.pdf	5-45:0.074029851	50-145:0.059552239	150-495:0.052238806	500-2495:0.046865672	2500-4995:0.042537313	5000-:0.040298507	185016						
C96446	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10A106MA8NRNC	603	2	Samsung Electro-Mechanics	Basic	25V 10uF X5R ??20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811110921_Samsung-Electro-Mechanics-CL10A106MA8NRNC_C96446.pdf	100-580:0.012298507	60-80:0.012298507	600-660:0.011746269	680-700:0.011746269	720-:0.011746269	20-40:0.012298507	3291195						
C107045	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CC0603JRNPO9BN270	603	2	YAGEO	Basic	50V 27pF NP0 ??5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811082127_YAGEO-CC0603JRNPO9BN270_C107045.pdf	20-180:0.002343284	200-580:0.001835821	600-1980:0.001567164	2000-9980:0.001438806	10000-10020:0.001276119	10040-19980:0.001276119	40000-:0.001252239	20000-39980:0.001262687	169322				
C107110	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CC0805JRNPO9BN150	805	2	YAGEO	Basic	50V 15pF NP0 ??5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810311412_YAGEO-CC0805JRNPO9BN150_C107110.pdf	20-180:0.006298507	200-580:0.005104478	600-1980:0.004432836	2000-9980:0.004029851	10000-19980:0.003686567	20000-39980:0.003492537	40000-79980:0.003447761	80000-:0.003432836	57833				
C107114	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CC0805JRNPO9BN300	805	2	YAGEO	Basic	50V 30pF NP0 ??5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810311413_YAGEO-CC0805JRNPO9BN300_C107114.pdf	20-180:0.005671642	200-580:0.004597015	600-1980:0.004000000	2000-9980:0.003641791	10000-19980:0.003328358	20000-39980:0.003164179	40000-79980:0.003119403	80000-:0.003104478	85475				
C107115	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CC0805JRNPO9BN330	805	2	YAGEO	Basic	50V 33pF NP0 ??5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810311413_YAGEO-CC0805JRNPO9BN330_C107115.pdf	20-180:0.006582090	200-580:0.005388060	600-1980:0.004731343	2000-9980:0.004328358	10000-19980:0.003985075	20000-39980:0.003805970	40000-79980:0.003761194	80000-:0.003746269	98471				
C107145	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CC0805KRX7R9BB221	805	2	YAGEO	Basic	50V 220pF X7R ??10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1809281326_YAGEO-CC0805KRX7R9BB221_C107145.pdf	20-180:0.007164179	200-580:0.006044776	600-1980:0.005417910	2000-9980:0.005044776	10000-19980:0.004716418	20000-39980:0.004552239	40000-79980:0.004507463	80000-:0.004492537	64765				
C307331	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL05B104KB54PNC	402	2	Samsung Electro-Mechanics	Basic	50V 100nF X7R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf	20-180:0.005985075	200-580:0.005000000	600-1980:0.004462687	2000-9980:0.004134328	10000-19980:0.003850746	20000-:0.003701493	3055063						
C440198	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	GRM21BR61H106KE43L	805	2	Murata Electronics	Basic	50V 10uF X5R ??10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/2004251506_Murata-Electronics-GRM21BR61H106KE43L_C440198.pdf	5-45:0.079850746	50-145:0.064477612	150-495:0.056567164	2500-4995:0.047910448	500-2495:0.050149254	5000-:0.046417910	257056						
C7171	Capacitors	Tantalum Capacitors	TAJA106K016RNJ	CASE-A_3216	2	Kyocera AVX	Basic	10uF 16V -55??~+125?? 3??@100kHz ??10% CASE-A_3216  Tantalum Capacitors ROHS	https://datasheet.lcsc.com/lcsc/1811071223_Kyocera-AVX-TAJA106K016RNJ_C7171.pdf	150-165:0.048507463	15-20:0.050895522	170-175:0.048507463	180-:0.048507463	25-145:0.050895522	5-10:0.050895522	636995						
C16133	Capacitors	Tantalum Capacitors	TAJB107K006RNJ	CASE-B_3528	2	Kyocera AVX	Basic	100uF 6.3V -55??~+125?? 1.7??@100kHz ??10% CASE-B_3528  Tantalum Capacitors ROHS	https://datasheet.lcsc.com/lcsc/2111161030_Kyocera-AVX-TAJB107K006RNJ-_C16133.pdf	150-165:0.080000000	15-20:0.083731343	170-175:0.080000000	180-:0.080000000	25-145:0.083731343	5-10:0.083731343	297844						
C6521	Communication Interface Chip/UART/485/232	Analog Switches / Multiplexers	CD4052BM96	SOIC-16_150mil	16	Texas Instruments	Basic	SOIC-16_150mil  Analog Switches / Multiplexers ROHS	http://www.ti.com/cn/lit/gpn/cd4052b	1-9:0.344776119	10-29:0.276119403	30-99:0.246268657	100-499:0.208955224	500-999:0.194029851	1000-:0.183582090	4323						
C21379	Communication Interface Chip/UART/485/232	Analog Switches / Multiplexers	CD4051BM96	SOIC-16_150mil	16	Texas Instruments	Basic	SOIC-16_150mil  Analog Switches / Multiplexers ROHS	http://www.ti.com/cn/lit/gpn/cd4051b	1-9:0.364179104	10-29:0.291044776	30-99:0.259701493	100-499:0.220895522	500-999:0.204477612	1000-:0.194029851	26334						
C6952	Communication Interface Chip/UART/485/232	CAN ICs	TJA1050T/CM	118	SOIC-8_150mil	8	NXP Semicon	Basic	1/1 CAN Transceiver SOIC-8_150mil  CAN ICs ROHS	https://datasheet.lcsc.com/lcsc/1809201810_NXP-Semicon-TJA1050T-CM-118_C6952.pdf	1-9:0.820895522	10-29:0.732835821	30-99:0.649253731	100-499:0.588059701	500-999:0.562686567	2000-3999:0.544776119	4000-:0.541791045	1000-1999:0.549253731	25721			
C12084	Communication Interface Chip/UART/485/232	CAN ICs	SN65HVD230DR	SOIC-8_150mil	8	Texas Instruments	Basic	1/1 1Mbps CAN Transceiver SOIC-8_150mil  CAN ICs ROHS	http://www.ti.com/cn/lit/gpn/sn65hvd230	1-9:1.546268657	10-29:1.376119403	30-99:1.255223881	100-499:1.146268657	500-999:1.095522388	1000-:1.076119403	13743						
C9669	Communication Interface Chip/UART/485/232	Digital Isolators	ADUM1201ARZ-RL7	SOIC-8_150mil	8	Analog Devices	Basic	2 Unidirectional 2500Vrms 1Mbps General Purpose Magnetic Coupling SOIC-8_150mil  Digital Isolators ROHS	https://datasheet.lcsc.com/lcsc/1810151812_Analog-Devices-ADUM1201ARZ-RL7_C9669.pdf	500-999:1.550746269	100-499:1.617910448	4000-:1.500000000	1000-1999:1.522388060	10-29:1.922388060	2000-3999:1.510447761	30-99:1.762686567	1-9:2.147761194	17579				
C6855	Communication Interface Chip/UART/485/232	RS-485/RS-422 ICs	SP485EEN-L/TR	SOIC-8_150mil	8	MaxLinear	Basic	transceiver 4.75V~5.25V 10Mbps 1/1 SOIC-8_150mil  RS-485/RS-422 ICs ROHS	https://datasheet.lcsc.com/lcsc/2104081903_MaxLinear-SP485EEN-L-TR_C6855.pdf	1-9:0.252089552	10-29:0.201492537	30-99:0.176716418	100-499:0.154611940	500-999:0.148507463	4000-:0.142686567	2000-3999:0.143731343	1000-1999:0.144925373	137942				
C7063	Communication Interface Chip/UART/485/232	RS-485/RS-422 ICs	SN75176BDR	SOIC-8_150mil	8	Texas Instruments	Basic	transceiver 4.75V~5.25V 1/1 SOIC-8_150mil  RS-485/RS-422 ICs ROHS	http://www.ti.com/cn/lit/gpn/sn75176b	1-9:0.272238806	10-29:0.214179104	30-99:0.185671642	100-499:0.160388060	500-999:0.153432836	1000-:0.149253731	55473						
C8963	Communication Interface Chip/UART/485/232	RS-485/RS-422 ICs	SP3485EN-L/TR	SOIC-8_150mil	8	MaxLinear	Basic	transceiver 3.3V 10Mbps 1/1 SOIC-8_150mil  RS-485/RS-422 ICs ROHS	https://datasheet.lcsc.com/lcsc/1811021609_MaxLinear-SP3485EN-L-TR_C8963.pdf	1-9:0.497014925	10-29:0.419402985	30-99:0.365671642	500-999:0.307462687	100-499:0.320895522	1000-:0.298507463	87162						
C13482	Communication Interface Chip/UART/485/232	RS232 ICs	SP3232EEY-L/TR	TSSOP-16	16	MaxLinear	Basic	235Kbps 3V~5.5V transceiver 2/2 TSSOP-16  RS232 ICs ROHS	https://datasheet.lcsc.com/lcsc/1810111814_MaxLinear-SP3232EEY-L-TR_C13482.pdf	72-198:0.535820896	60-66:0.535820896	1000-:0.525373134	200-998:0.529850746	68-70:0.535820896	10-58:0.559701493	2-4:0.559701493	6-8:0.559701493	73782				
C26860	Communication Interface Chip/UART/485/232	RS232 ICs	MAX232ESE+T	SOIC-16_150mil	16	Maxim Integrated	Basic	5V transceiver 2/2 SOIC-16_150mil  RS232 ICs ROHS	https://datasheet.lcsc.com/lcsc/1809301135_Maxim-Integrated-MAX232ESE-T_C26860.pdf	30-99:0.573134328	500-999:0.485074627	1-9:0.768656716	100-499:0.505970149	10-29:0.653731343	2000-3999:0.468656716	4000-:0.464179104	1000-1999:0.471641791	28414				
C6568	Communication Interface Chip/UART/485/232	USB ICs	CP2102-GMR	QFN-28_5x5x05P	29	SILICON LABS	Basic	Transceiver 1Mbps USB 1/1 QFN-28_5x5x05P  USB ICs ROHS	https://datasheet.lcsc.com/lcsc/1811081920_SILICON-LABS-CP2102-GMR_C6568.pdf	1-9:2.001492537	10-29:1.764179104	30-99:1.595522388	100-499:1.443283582	500-999:1.373134328	1000-:1.343283582	20331						
C9002	Crystal Oscillator/Oscillator/Resonator	Crystals	X322512MSB4SI	SMD3225-4P	4	Yangxing Tech	Basic	12MHz SMD Crystal Resonator 20pF ??10ppm ??30ppm -40??~+85?? SMD3225-4P  Crystals ROHS	https://datasheet.lcsc.com/lcsc/2103291203_Yangxing-Tech-X322512MSB4SI_C9002.pdf	5-45:0.074626866	50-145:0.059701493	150-495:0.052238806	2500-4995:0.042238806	500-2495:0.046716418	5000-:0.040000000	102788						
C9006	Crystal Oscillator/Oscillator/Resonator	Crystals	X322525MOB4SI	SMD3225-4P	4	Yangxing Tech	Basic	25MHz SMD Crystal Resonator 12pF ??10ppm ??30ppm -40??~+85?? SMD3225-4P  Crystals ROHS	https://datasheet.lcsc.com/lcsc/2103291203_Yangxing-Tech-X322525MOB4SI_C9006.pdf	5-45:0.074925373	50-145:0.060000000	150-495:0.052537313	2500-4995:0.042537313	500-2495:0.047014925	5000-:0.040298507	146152						
C13738	Crystal Oscillator/Oscillator/Resonator	Crystals	X322516MLB4SI	SMD3225-4P	4	Yangxing Tech	Basic	16MHz SMD Crystal Resonator 9pF ??10ppm ??30ppm -40??~+85?? SMD3225-4P  Crystals ROHS	https://datasheet.lcsc.com/lcsc/2103291133_Yangxing-Tech-X322516MLB4SI_C13738.pdf	5-45:0.074776119	50-145:0.059850746	150-495:0.052537313	2500-4995:0.042388060	500-2495:0.046865672	5000-:0.040149254	112805						
C32346	Crystal Oscillator/Oscillator/Resonator	Crystals	Q13FC1350000400	SMD3215-2P	2	Seiko Epson	Basic	32.768kHz SMD Crystal Resonator 12.5pF 70k?? ??20ppm -40??~+85?? SMD3215-2P  Crystals ROHS	https://datasheet.lcsc.com/lcsc/1810171817_Seiko-Epson-Q13FC1350000400_C32346.pdf	5-45:0.220895522	50-145:0.174179104	150-495:0.151238806	500-2495:0.130895522	2500-4995:0.125223881	20000-:0.119701493	10000-19995:0.120746269	5000-9995:0.121940299	122696				
C112574	Crystal Oscillator/Oscillator/Resonator	Crystals	X5032110592MSB2GI	SMD5032-2P	2	Yangxing Tech	Basic	11.0592MHz SMD Crystal Resonator 20pF ??10ppm ??50ppm -40??~+85?? SMD5032-2P  Crystals ROHS	https://datasheet.lcsc.com/lcsc/2103291134_Yangxing-Tech-X5032110592MSB2GI_C112574.pdf	5-45:0.190298507	50-145:0.151402985	150-495:0.134776119	2500-4995:0.104776119	500-2495:0.114029851	5000-:0.099104478	11684						
C115962	Crystal Oscillator/Oscillator/Resonator	Crystals	X50328MSB2GI	SMD5032-2P	2	Yangxing Tech	Basic	8MHz SMD Crystal Resonator 20pF ??10ppm ??50ppm -40??~+85?? SMD5032-2P  Crystals ROHS	https://datasheet.lcsc.com/lcsc/2103291135_Yangxing-Tech-X50328MSB2GI_C115962.pdf	5-45:0.193432836	50-145:0.154641791	150-495:0.138059701	2500-4995:0.108059701	500-2495:0.117164179	5000-:0.102388060	207943						
C12674	Crystals/Oscillators/Resonators	Crystals	X49SM8MSD2SC	HC-49S-SMD-2P	2	Yangxing Tech	Basic	8MHz 49SMD 20pF ??20ppm ??30ppm -20??~+70?? HC-49S/SMD  Crystals ROHS	https://datasheet.lcsc.com/lcsc/2103291133_Yangxing-Tech-X49SM8MSD2SC_C12674.pdf	2-18:0.078059701	20-58:0.062537313	60-198:0.054776119	1000-1998:0.044179104	200-998:0.048955224	2000-:0.041940299	69729						
C2488	Diodes	Bridge Rectifiers	MB10S	MBS	4	MDD??Microdiode Electronics??	Basic	35A 1.1V@400mA 5uA@1kV 1A 1kV -55??~+150??@(Tj) MBS  Bridge Rectifiers ROHS	https://datasheet.lcsc.com/lcsc/2105061432_MDD-Microdiode-Electronics--MB10S_C2488.pdf	5-45:0.021940299	50-145:0.017462687	150-495:0.014910448	500-2495:0.013417910	2500-4995:0.012119403	5000-9995:0.011417910	10000-19995:0.011268657	20000-:0.011164179	149989				
C5377	Diodes	Bridge Rectifiers	DB107S	DBS	4	MDD??Microdiode Electronics??	Basic	50A 1.1V@1A 10uA@1kV 1A 1kV -55??~+150??@(Tj) DBS  Bridge Rectifiers ROHS	https://datasheet.lcsc.com/lcsc/2105061435_MDD-Microdiode-Electronics--DB107S_C5377.pdf	2-18:0.051641791	20-58:0.042388060	60-198:0.037761194	200-998:0.034328358	1000-1998:0.031492537	2000-3998:0.030149254	4000-7998:0.029850746	8000-:0.029552239	52073				
C412437	Diodes	Diodes - Fast Recovery Rectifiers	US1M	SMA	2	MDD??Microdiode Electronics??	Basic	1.7V@1A 5uA@1kV 75ns Single 1A -50??~+150??@(Tj) 1kV SMA  Diodes - Fast Recovery Rectifiers ROHS	https://datasheet.lcsc.com/lcsc/2007101707_MDD-Microdiode-Electronics--US1M_C412437.pdf	5-45:0.009686567	50-145:0.007716418	150-495:0.006626866	500-2495:0.005955224	2500-4995:0.005388060	10000-19995:0.005014925	20000-:0.004970149	5000-9995:0.005089552	720043				
C64898	Diodes	Diodes - General Purpose	SM4007PL	SOD-123FL	2	MDD??Microdiode Electronics??	Basic	1A 10uA@1kV 1kV 1.1V@1A SOD-123FL  Diodes - General Purpose ROHS	https://datasheet.lcsc.com/lcsc/1809301215_MDD-Microdiode-Electronics--SM4007PL_C64898.pdf	15-135:0.006089552	150-435:0.004820896	450-1485:0.004104478	1500-7485:0.003686567	7500-14985:0.003313433	60000-:0.003044776	30000-59985:0.003074627	15000-29985:0.003119403	631864				
C95872	Diodes	Diodes - General Purpose	M7	SMA(DO-214AC)	2	MDD??Microdiode Electronics??	Basic	1A 5uA@1kV 1kV 1.1V@1A SMA(DO-214AC)  Diodes - General Purpose ROHS	https://datasheet.lcsc.com/lcsc/1810311713_MDD-Microdiode-Electronics--M7_C95872.pdf	5-45:0.006791045	50-145:0.005253731	150-495:0.004567164	500-2495:0.004044776	2500-4995:0.003850746	5000-:0.003701493	2198690						
C2480	Diodes	Schottky Barrier Diodes (SBD)	SS14	SMA(DO-214AC)	2	MDD??Microdiode Electronics??	Basic	0.5mA@40V 40V Single 1A 0.55V@1A SMA(DO-214AC)  Schottky Barrier Diodes (SBD) ROHS	https://datasheet.lcsc.com/lcsc/2204121115_MDD-Microdiode-Electronics--SS14_C2480.pdf	5-45:0.014761194	50-145:0.011716418	150-495:0.010029851	500-2495:0.009029851	2500-4995:0.008149254	20000-:0.007507463	10000-19995:0.007582090	5000-9995:0.007671642	793047				
C8598	Diodes	Schottky Barrier Diodes (SBD)	B5819W SL	SOD-123	2	Jiangsu Changjing Electronics Technology Co.	 Ltd.	Basic	40V 600mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS	https://datasheet.lcsc.com/lcsc/1809140216_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--B5819W-SL_C8598.pdf	5-45:0.028208955	50-145:0.021940299	150-495:0.019253731	500-2495:0.017014925	2500-4995:0.016268657	20000-:0.015373134	10000-19995:0.015522388	5000-9995:0.015671642	522848			
C8678	Diodes	Schottky Barrier Diodes (SBD)	SS34	SMA(DO-214AC)	2	MDD??Microdiode Electronics??	Basic	0.5mA@40V 40V Single 3A 0.55V@3A SMA(DO-214AC)  Schottky Barrier Diodes (SBD) ROHS	https://datasheet.lcsc.com/lcsc/2204121115_MDD-Microdiode-Electronics--SS34_C8678.pdf	5-45:0.028208955	50-145:0.022835821	150-495:0.020149254	10000-19995:0.016268657	500-2495:0.017761194	20000-:0.016119403	2500-4995:0.017014925	5000-9995:0.016417910	826593				
C14996	Diodes	Schottky Barrier Diodes (SBD)	SS210	SMA(DO-214AC)	2	MDD??Microdiode Electronics??	Basic	100V 850mV@2A 2A SMA(DO-214AC)  Schottky Barrier Diodes (SBD) ROHS	https://datasheet.lcsc.com/lcsc/1811071613_MDD-Microdiode-Electronics--SS210_C14996.pdf	5-45:0.027313433	50-145:0.021940299	150-495:0.018955224	500-2495:0.017164179	2500-4995:0.015671642	5000-9995:0.014850746	10000-19995:0.014671642	20000-:0.014567164	111632				
C22452	Diodes	Schottky Barrier Diodes (SBD)	SS54	SMA(DO-214AC)	2	MDD??Microdiode Electronics??	Basic	40V 550mV@5A 5A SMA(DO-214AC)  Schottky Barrier Diodes (SBD) ROHS	https://datasheet.lcsc.com/lcsc/1810192041_MDD-Microdiode-Electronics--SS54_C22452.pdf	5-45:0.047462687	50-145:0.038358209	150-495:0.033880597	10000-19995:0.025970149	500-2495:0.030447761	20000-:0.025820896	2500-4995:0.027611940	5000-9995:0.026268657	294200				
C35722	Diodes	Schottky Barrier Diodes (SBD)	SS36-E3/57T	SMC(DO-214AB)	2	Vishay Intertech	Basic	60V 750mV@3A 3A SMC(DO-214AB)  Schottky Barrier Diodes (SBD) ROHS	https://datasheet.lcsc.com/lcsc/1809042323_Vishay-Intertech-SS36-E3-57T_C35722.pdf	2-18:0.194925373	20-58:0.157134328	60-198:0.140895522	200-998:0.120746269	1000-1998:0.111791045	8000-:0.104179104	4000-7998:0.105074627	2000-3998:0.106417910	36327				
C37704	Diodes	Schottky Barrier Diodes (SBD)	BAT54C	215	SOT-23(SOT-23-3)	3	Nexperia	Basic	30V 800mV@100mA 200mA SOT-23(SOT-23-3)  Schottky Barrier Diodes (SBD) ROHS	https://datasheet.lcsc.com/lcsc/1811141223_Nexperia-BAT54C-215_C37704.pdf	10-90:0.021940299	100-290:0.017014925	300-990:0.014850746	1000-4990:0.013223881	5000-9990:0.012567164	40000-:0.011925373	20000-39990:0.012029851	10000-19990:0.012134328	579507			
C191023	Diodes	Schottky Barrier Diodes (SBD)	1N5819WS	SOD-323	2	Guangdong Hottech	Basic	40V 600mV@1A 1A SOD-323  Schottky Barrier Diodes (SBD) ROHS	https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf	20000-:0.007970149	10000-19980:0.008268657	2000-9980:0.008701493	600-1980:0.009805970	200-580:0.011268657	20-180:0.014552239	351414						
C2128	Diodes	Switching Diode	1N4148WS	SOD-323	2	Jiangsu Changjing Electronics Technology Co.	 Ltd.	Basic	100V +150??@(Tj) 200mW Single 1.25V@150mA 4ns 1uA@75V 150mA SOD-323  Switching Diode ROHS	https://datasheet.lcsc.com/lcsc/1810101110_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--1N4148WS_C2128.pdf	20-180:0.010104478	200-580:0.007910448	600-1980:0.006925373	2000-9980:0.006194030	10000-19980:0.005910448	80000-:0.005611940	40000-79980:0.005656716	20000-39980:0.005716418	1444969			
C2500	Diodes	Switching Diode	BAV99	215	SOT-23	3	Nexperia	Basic	100V +150??@(Tj) 250mW Dual 1.25V@150mA 4ns 500nA@80V 215mA SOT-23  Switching Diode ROHS	https://datasheet.lcsc.com/lcsc/1811141238_Nexperia-BAV99-215_C2500.pdf	20000-39990:0.018955224	5000-9990:0.019552239	300-990:0.022537313	100-290:0.025223881	1000-4990:0.020447761	40000-:0.018805970	10-90:0.031343284	10000-19990:0.019104478	261952			
C9808	Diodes	Switching Diode	LL4148	LL-34	2	ST(Semtech)	Basic	75V +175??@(Tj) 500mW 1V@10mA 4ns 5uA@75V 200mA LL-34  Switching Diode ROHS	https://datasheet.lcsc.com/lcsc/1811091932_ST-Semtech-LL4148_C9808.pdf	7500-14985:0.003611940	15-135:0.006402985	450-1485:0.004298507	150-435:0.004940299	1500-7485:0.003805970	15000-:0.003492537	2587647						
C68978	Diodes	Switching Diode	BAV70	SOT-23	3	Jiangsu Changjing Electronics Technology Co.	 Ltd.	Basic	70V +150??@(Tj) 225mW Dual Common Cathode 1.25V@150mA 6ns 2.5uA@70V 200mA SOT-23  Switching Diode ROHS	https://datasheet.lcsc.com/lcsc/1809211023_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--BAV70_C68978.pdf	10-90:0.018059701	100-290:0.014507463	300-990:0.012492537	1000-4990:0.011298507	5000-9990:0.010253731	10000-:0.009686567	172453					
C81598	Diodes	Switching Diode	1N4148W	SOD-123	2	ST(Semtech)	Basic	75V +150??@(Tj) 400mW Single 1.25V@150mA 4ns 1uA@75V 150mA SOD-123  Switching Diode ROHS	https://datasheet.lcsc.com/lcsc/1811061725_ST-Semtech-1N4148W_C81598.pdf	15-135:0.009626866	150-435:0.007402985	450-1485:0.006417910	1500-7485:0.005686567	7500-14985:0.005388060	15000-:0.005194030	2484674						
C8056	Diodes	Zener Diodes	ZMM3V3-M	LL-34	2	ST(Semtech)	Basic	2uA@1V 85?? Single 3.1V~3.5V 500mW 3.3V LL-34  Zener Diodes ROHS	https://datasheet.lcsc.com/lcsc/1811142211_ST-Semtech-ZMM3V3-M_C8056.pdf	10-90:0.015820896	100-290:0.012567164	300-990:0.010761194	1000-4990:0.009671642	5000-9990:0.008731343	10000-:0.008223881	135741						
C8062	Diodes	Zener Diodes	ZMM5V6-M	LL-34	2	ST(Semtech)	Basic	100nA@1V 25?? Single 5.2V~6V 500mW 5.6V LL-34  Zener Diodes ROHS	https://datasheet.lcsc.com/lcsc/1809301122_ST-Semtech-ZMM5V6-M_C8062.pdf	10-90:0.015970149	100-290:0.012761194	300-990:0.010940299	1000-4990:0.009865672	5000-9990:0.008925373	10000-:0.008417910	303847						
C1034	Inductors/Coils/Transformers	Inductors (SMD)	SDFL1608Q4R7KTF	603	2	Sunlord	Basic	15mA 4.7uH ??10% 2.1?? 0603  Inductors (SMD) ROHS	https://datasheet.lcsc.com/lcsc/2110081230_Sunlord-SDFL1608Q4R7KTF_C1034.pdf	20-180:0.009089552	200-580:0.007283582	600-1980:0.006268657	2000-9980:0.005671642	10000-19980:0.005149254	20000-:0.004865672	122217						
